ISO,year,e_spar,ghs_index,disaster_risk,hexp_gdp,uhc_index,wpi_val,health_policy,national_plan,national_strategy,recognition,participation_event_it,decision_event_it,leadership_event_it,admin_event_it,role_type_it,Exclusion,NoExclusion,efforts_A,efforts_B,e_spar_flag,ghs_index_flag,disaster_risk_flag,hexp_gdp_flag,uhc_index_flag,health_policy_flag,national_plan_flag,national_strategy_flag,recognition_flag,participation_event_it_flag,decision_event_it_flag,leadership_event_it_flag,admin_event_it_flag,role_type_it_flag,efforts_A_flag,efforts_B_flag
CHN,2022,,,0.05369487,84,,0.862,1.0,,,4,2,2,0,0,2,0.0,1.0,20,,missing,missing,observed,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHN,2023,,,,85,,,1.0,,,4,1,0,1,0,3,0.0,1.0,20,20.0,missing,missing,missing,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,observed
CMR,2011,65.0,,0.03852829,44,,0.398,,,,4,1,1,0,0,2,0.0,1.0,80,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CMR,2016,54.0,,0.04022537,47,,0.397,,,,4,1,1,0,0,2,0.0,1.0,80,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CMR,2018,38.0,,0.03619702,45,0.0,0.399,,,,4,1,1,1,0,3,0.0,1.0,80,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CMR,2021,41.0,28.6,0.04305393,43,,0.408,2.0,,2.0,4,1,1,0,0,2,0.0,1.0,80,,observed,observed,observed,observed,missing,observed,missing,observed,observed,observed,observed,observed,observed,observed,observed,missing
CMR,2022,,,0.04478359,47,,0.408,2.0,,2.0,4,1,1,0,0,2,0.0,1.0,80,,missing,missing,observed,observed,missing,observed,missing,observed,observed,observed,observed,observed,observed,observed,observed,missing
CMR,2023,,,,48,,,2.0,,2.0,4,1,1,0,0,2,0.0,1.0,80,80.0,missing,missing,missing,observed,missing,observed,missing,observed,observed,observed,observed,observed,observed,observed,observed,observed
COD,2010,,,0.03722243,33,,0.302,,,,1,1,1,0,0,2,0.0,1.0,100,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
COD,2014,69.0,,0.03725206,40,,0.348,,,,1,1,1,0,0,2,0.0,1.0,100,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
COD,2019,35.0,26.0,0.03508039,39,,0.363,2.0,,,1,1,1,0,0,2,0.0,1.0,100,,observed,observed,observed,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
COD,2023,,,,41,,,2.0,,,1,1,1,0,0,2,0.0,1.0,100,100.0,missing,missing,missing,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,observed
COG,2014,,,0.01973117,42,,0.366,,,,1,1,0,1,0,3,0.0,1.0,40,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
COG,2015,,,0.02456685,41,,0.357,,,,1,1,1,0,0,2,0.0,1.0,40,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
